5.3986 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
147806.3734 	EXP 	distractor
147807.7770 	EXP 	baseLine
147809.1810 	EXP 	distractor
147810.5851 	EXP 	baseLine
147811.9912 	EXP 	baseLine
147813.3963 	EXP 	baseLine
147814.8011 	EXP 	baseLine
147816.2047 	EXP 	baseLine
147817.6097 	EXP 	baseLine
147819.0145 	EXP 	distractor
147820.4181 	EXP 	baseLine
147821.8220 	EXP 	distractor
147823.2268 	EXP 	baseLine
147824.6327 	EXP 	target
147826.0360 	EXP 	baseLine
147827.4407 	EXP 	baseLine
147828.8450 	EXP 	baseLine
147830.2514 	EXP 	baseLine
147831.6578 	EXP 	baseLine
147833.0619 	EXP 	baseLine
147834.4694 	EXP 	baseLine
147835.8742 	EXP 	baseLine
147837.2793 	EXP 	baseLine
147838.6840 	EXP 	target
147840.0891 	EXP 	baseLine
147841.4929 	EXP 	distractor
147842.8981 	EXP 	baseLine
147844.3027 	EXP 	target
147845.7053 	EXP 	baseLine
147847.1079 	EXP 	distractor
147848.5160 	EXP 	baseLine
147849.9204 	EXP 	baseLine
147851.3321 	EXP 	target
147852.7375 	EXP 	distractor
147854.1427 	EXP 	target
147855.5457 	EXP 	baseLine
147856.9529 	EXP 	distractor
147858.3566 	EXP 	baseLine
147859.7648 	EXP 	baseLine
147861.1705 	EXP 	target
147862.5745 	EXP 	baseLine
147863.9814 	EXP 	baseLine
147865.3862 	EXP 	baseLine
147866.7887 	EXP 	baseLine
147868.1935 	EXP 	baseLine
147869.6016 	EXP 	baseLine
147871.0085 	EXP 	baseLine
147872.4143 	EXP 	distractor
147873.8190 	EXP 	baseLine
147875.2248 	EXP 	baseLine
147876.6286 	EXP 	baseLine
147878.0345 	EXP 	baseLine
147879.4403 	EXP 	baseLine
147880.8451 	EXP 	baseLine
147882.2500 	EXP 	distractor
147883.6591 	EXP 	baseLine
147885.0658 	EXP 	target
147886.4696 	EXP 	baseLine
147887.8751 	EXP 	baseLine
147889.2851 	EXP 	baseLine
147890.6884 	EXP 	distractor
147892.0916 	EXP 	baseLine
147893.4967 	EXP 	baseLine
147894.9008 	EXP 	baseLine
147896.3076 	EXP 	baseLine
147897.7120 	EXP 	baseLine
147899.1169 	EXP 	baseLine
147900.5222 	EXP 	baseLine
147901.9248 	EXP 	baseLine
147903.3323 	EXP 	baseLine
147904.7413 	EXP 	baseLine
147906.1492 	EXP 	baseLine
147907.5533 	EXP 	baseLine
147908.9580 	EXP 	baseLine
147910.3617 	EXP 	baseLine
147911.7662 	EXP 	baseLine
147913.1715 	EXP 	baseLine
147914.5786 	EXP 	baseLine
147915.9840 	EXP 	baseLine
147917.3902 	EXP 	baseLine
147918.7963 	EXP 	baseLine
147920.2036 	EXP 	baseLine
147921.6128 	EXP 	baseLine
147923.0176 	EXP 	distractor
147924.4216 	EXP 	baseLine
147925.8292 	EXP 	baseLine
147927.2347 	EXP 	baseLine
147928.6410 	EXP 	baseLine
147930.0456 	EXP 	distractor
147931.4523 	EXP 	baseLine
147932.8578 	EXP 	baseLine
147934.2641 	EXP 	baseLine
147935.6685 	EXP 	baseLine
147937.0722 	EXP 	baseLine
147938.4768 	EXP 	distractor
147939.8842 	EXP 	target
147941.2894 	EXP 	distractor
147942.6960 	EXP 	distractor
147944.1014 	EXP 	baseLine
147945.5091 	EXP 	baseLine
147946.9143 	EXP 	baseLine
147948.3208 	EXP 	baseLine
147949.7245 	EXP 	distractor
147951.1295 	EXP 	baseLine
147952.5346 	EXP 	baseLine
147953.9395 	EXP 	distractor
147955.3429 	EXP 	baseLine
147956.7469 	EXP 	baseLine
147958.1506 	EXP 	target
